Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match Type
26,30,21,3,1,123.8,5,not out,2,Zimbabwe,Harare,12-06-2010,T20
,,,,,,,,,Zimbabwe,Harare,13-06-2010,T20
28,28,19,5,0,147.36,1,bowled,1,South Africa,Durban,09-01-2011,T20
14,15,12,2,0,116.66,3,caught,1,West Indies,Port of Spain,04-06-2011,T20
4,5,5,0,0,80,4,caught,1,England,Manchester,31-08-2011,T20
15,21,16,3,0,93.75,3,caught,1,England,Eden Gardens,29-10-2011,T20
22,30,21,0,1,104.76,3,caught,2,Australia,Sydney,01-02-2012,T20
31,29,24,3,0,129.16,3,caught,2,Australia,Melbourne,03-02-2012,T20
,,,,,,,,,South Africa,Johannesburg,30-03-2012,T20
68,65,48,11,1,141.66,3,caught,1,Sri Lanka,Pallekele,07-08-2012,T20
70,67,41,10,1,170.73,2,caught,2,New Zealand,Chennai,11-09-2012,T20
50,60,39,4,2,128.2,3,caught,1,Afghanistan,Colombo (RPS),19-09-2012,T20
40,33,32,6,0,125,3,caught,1,England,Colombo (RPS),23-09-2012,T20
15,18,13,2,0,115.38,3,caught,1,Australia,Colombo (RPS),28-09-2012,T20
78,61,61,8,2,127.86,3,not out,2,Pakistan,Colombo (RPS),30-09-2012,T20
2,5,6,0,0,33.33,3,caught,1,South Africa,Colombo (RPS),02-10-2012,T20
21,35,17,2,0,123.52,3,bowled,2,England,Pune,20-12-2012,T20
38,25,20,7,0,190,3,lbw,1,England,Wankhede,22-12-2012,T20
9,15,11,1,0,81.81,3,caught,1,Pakistan,Bengaluru,25-12-2012,T20
27,31,22,3,0,122.72,3,run out,1,Pakistan,Ahmedabad,28-12-2012,T20
29,26,22,2,1,131.81,4,caught,2,Australia,Rajkot,10-10-2013,T20
36,45,32,4,1,112.5,3,not out,2,Pakistan,Mirpur,21-03-2014,T20
54,51,41,5,1,131.7,3,bowled,2,West Indies,Mirpur,23-03-2014,T20
57,66,50,3,1,114,3,not out,2,Bangladesh,Mirpur,28-03-2014,T20
23,23,22,2,1,104.54,3,caught,1,Australia,Mirpur,30-03-2014,T20
72,67,44,5,2,163.63,3,not out,2,South Africa,Mirpur,04-04-2014,T20
77,75,58,5,4,132.75,3,run out,1,Sri Lanka,Mirpur,06-04-2014,T20
66,54,41,9,1,160.97,3,caught,2,England,Birmingham,07-09-2014,T20
43,58,27,1,3,159.25,3,caught,1,South Africa,Dharamsala,02-10-2015,T20
1,3,1,0,0,100,3,run out,1,South Africa,Cuttack,05-10-2015,T20
90,71,55,9,2,163.63,3,not out,1,Australia,Adelaide,26-01-2016,T20
59,44,33,7,1,178.78,3,not out,1,Australia,Melbourne,29-01-2016,T20
50,49,36,2,1,138.88,3,bowled,2,Australia,Sydney,31-01-2016,T20
7,13,12,1,0,58.33,3,caught,1,Bangladesh,Mirpur,24-02-2016,T20
49,71,51,7,0,96.07,3,lbw,2,Pakistan,Mirpur,27-02-2016,T20
56,85,47,7,0,119.14,3,not out,2,Sri Lanka,Mirpur,01-03-2016,T20
,,,,,,,,,U.A.E.,Mirpur,03-03-2016,T20
41,62,28,5,0,146.42,3,not out,2,Bangladesh,Mirpur,06-03-2016,T20
23,-,27,2,0,85.18,3,caught,2,New Zealand,Nagpur,15-03-2016,T20
55,66,37,7,1,148.64,3,not out,2,Pakistan,Eden Gardens,19-03-2016,T20
24,37,24,0,1,100,3,bowled,1,Bangladesh,Bengaluru,23-03-2016,T20
82,78,51,9,2,160.78,3,not out,2,Australia,Mohali,27-03-2016,T20
89,63,47,11,1,189.36,3,not out,1,West Indies,Wankhede,31-03-2016,T20
16,8,9,3,0,177.77,3,caught,2,West Indies,Lauderhill,27-08-2016,T20
,,,,,,,,,West Indies,Lauderhill,28-08-2016,T20
29,34,26,4,0,111.53,1,caught,1,England,Kanpur,26-01-2017,T20
21,17,15,2,1,140,1,caught,1,England,Nagpur,29-01-2017,T20
2,6,4,0,0,50,1,run out,1,England,Bengaluru,01-02-2017,T20
39,-,22,7,1,177.27,1,caught,1,West Indies,Kingston,09-07-2017,T20
82,-,54,7,1,151.85,3,caught,2,Sri Lanka,Colombo (RPS),06-09-2017,T20
22,19,14,3,0,157.14,3,not out,2,Australia,Ranchi,07-10-2017,T20
0,2,2,0,0,0,3,caught,1,Australia,Guwahati,10-10-2017,T20
26,19,11,0,3,236.36,4,not out,1,New Zealand,Delhi,01-11-2017,T20
65,59,42,8,1,154.76,4,caught,2,New Zealand,Rajkot,04-11-2017,T20
13,6,6,1,1,216.66,3,caught,1,New Zealand,Thiruvananthapuram,07-11-2017,T20
26,26,20,2,1,130,4,lbw,1,South Africa,Johannesburg,18-02-2018,T20
1,6,5,0,0,20,4,caught,1,South Africa,Centurion,21-02-2018,T20
0,1,2,0,0,0,6,caught,1,Ireland,Dublin (Malahide),27-06-2018,T20
9,-,8,1,0,112.5,2,caught,1,Ireland,Dublin (Malahide),29-06-2018,T20
20,-,22,0,1,90.9,4,not out,2,England,Manchester,03-07-2018,T20
47,-,38,1,2,123.68,4,caught,1,England,Cardiff,06-07-2018,T20
